196,242,3,1,
186,302,3,2,
22,377,1,2,
244,51,2,1,
166,346,1,2,
298,474,4,2,
115,265,2,1,
253,465,5,1,
305,451,3,2,
6,86,3,1,
62,257,2,1,
286,1014,5,1,
200,222,5,1,
210,40,3,2,
224,29,3,2,
303,785,3,2,
122,387,5,1,
194,274,2,1,
291,1042,4,2,
234,1184,2,2,
119,392,4,2,
167,486,4,2,
299,144,4,2,
291,118,2,2,
308,1,4,2,
95,546,2,1,
38,95,5,2,
102,768,2,2,
63,277,4,2,
160,234,5,2,
50,246,3,1,
301,98,4,1,
225,193,4,2,
290,88,4,2,
97,194,3,1,
157,274,4,2,
181,1081,1,1,
278,603,5,2,
276,796,1,1,
7,32,4,1,
10,16,4,2,
284,304,4,2,
201,979,2,2,
276,564,3,2,
287,327,5,2,
246,201,5,2,
242,1137,5,2,
249,241,5,1,
99,4,5,1,
178,332,3,2,
251,100,4,2,
81,432,2,1,
260,322,4,2,
25,181,5,1,
59,196,5,2,
72,679,2,2,
87,384,4,1,
290,143,5,2,
42,423,5,1,
292,515,4,2,
115,20,3,2,
20,288,1,2,
201,219,4,2,
13,526,3,2,
246,919,4,1,
138,26,5,2,
167,232,1,2,
60,427,5,2,
57,304,5,1,
223,274,4,1,
189,512,4,1,
243,15,3,2,
92,1049,1,1,
246,416,3,2,
194,165,4,2,
241,690,2,2,
178,248,4,2,
254,1444,3,1,
293,5,3,2,
127,229,5,1,
225,237,5,1,
299,229,3,2,
225,480,5,2,
276,54,3,2,
291,144,5,2,
222,366,4,2,
267,518,5,2,
42,403,3,1,
11,111,4,1,
95,625,4,1,
8,338,4,1,
162,25,4,2,
87,1016,4,2,
279,154,5,2,
145,275,2,1,
119,1153,5,1,
62,498,4,1,
62,382,3,2,
28,209,4,2,
135,23,4,2,
32,294,3,2,
90,382,5,2,
286,208,4,1,
293,685,3,1,
216,144,4,1,
166,328,5,1,
250,496,4,2,
271,132,5,2,
160,174,5,1,
265,118,4,1,
198,498,3,1,
42,96,5,2,
168,151,5,2,
110,307,4,2,
58,144,4,1,
90,648,4,2,
271,346,4,2,
62,21,3,2,
279,832,3,2,
237,514,4,1,
94,789,4,1,
128,485,3,1,
298,317,4,2,
44,195,5,2,
264,200,5,2,
194,385,2,2,
72,195,5,1,
222,750,5,1,
250,264,3,1,
41,265,3,1,
224,245,3,2,
82,135,3,1,
262,1147,4,1,
293,471,3,1,
216,658,3,2,
250,140,3,1,
59,23,5,1,
286,379,5,2,
244,815,4,1,
7,479,4,1,
174,368,1,1,
87,274,4,2,
194,1211,2,1,
82,1134,2,2,
13,836,2,2,
13,272,4,1,
244,756,2,2,
305,427,5,1,
95,787,2,1,
43,14,2,2,
299,955,4,2,
57,419,3,1,
84,405,3,1,
269,504,4,2,
299,111,3,1,
194,466,4,2,
160,135,4,2,
99,268,3,1,
10,486,4,1,
259,117,4,1,
85,427,3,1,
303,919,4,2,
213,273,5,2,
121,514,3,2,
90,98,5,2,
49,559,2,2,
42,794,3,2,
155,323,2,1,
68,117,4,2,
172,177,4,1,
19,4,4,2,
268,231,4,1,
5,2,3,2,
305,117,2,1,
44,294,4,1,
43,137,4,2,
279,1336,1,1,
80,466,5,1,
254,164,4,1,
298,281,3,2,
279,1240,1,2,
66,298,4,2,
18,443,3,1,
268,1035,2,2,
99,79,4,2,
13,98,4,1,
26,258,3,1,
7,455,4,2,
222,755,4,1,
200,673,5,1,
119,328,4,2,
213,172,5,2,
276,322,3,2,
94,1217,3,2,
130,379,4,2,
38,328,4,2,
160,719,3,1,
293,1267,3,1,
26,930,2,2,
130,216,4,2,
92,1079,3,1,
256,452,4,2,
1,61,4,2,
72,48,4,1,
56,755,3,1,
13,360,4,1,
15,405,2,1,
92,77,3,2,
207,476,2,2,
292,174,5,1,
232,483,5,1,
251,748,2,2,
224,26,3,2,
181,220,4,1,
259,255,4,1,
305,471,4,2,
52,280,3,1,
161,202,5,2,
148,408,5,1,
125,235,2,1,
97,228,5,2,
58,1098,4,2,
83,234,4,2,
90,347,4,2,
272,178,5,2,
194,181,3,2,
125,478,4,1,
110,688,1,2,
299,14,4,1,
151,10,5,1,
269,127,4,1,
6,14,5,1,
54,106,3,1,
303,69,5,1,
16,944,1,2,
301,790,4,2,
276,1091,3,2,
305,214,2,1,
194,1028,2,1,
91,323,2,2,
87,554,4,2,
294,109,4,1,
286,171,4,1,
200,318,5,1,
229,328,1,2,
178,568,4,2,
303,842,2,1,
62,65,4,2,
207,591,3,1,
92,172,4,1,
301,401,4,1,
36,339,5,1,
70,746,3,2,
63,242,3,1,
28,201,3,2,
279,68,4,1,
250,7,4,2,
14,98,3,1,
299,1018,3,1,
194,54,3,1,
303,815,3,2,
119,237,5,1,
295,218,5,2,
268,930,2,1,
268,2,2,2,
66,258,4,1,
233,202,5,1,
83,623,4,1,
214,334,3,2,
192,476,2,2,
100,344,4,2,
268,145,1,1,
301,56,4,1,
307,89,5,2,
234,141,3,1,
83,576,4,2,
181,264,2,1,
297,133,4,2,
38,153,5,1,
7,382,4,1,
264,813,4,1,
181,872,1,2,
201,146,1,2,
85,507,4,1,
269,367,3,2,
59,468,3,2,
286,143,4,1,
193,96,1,1,
113,595,5,1,
292,11,5,2,
130,1014,3,2,
275,98,4,1,
189,520,5,1,
219,82,1,1,
218,209,5,1,
